id,category,body
1,alt.atheism,": You know, it just occurred to me today that this whole Christian thing : can be blamed solely on Mary. : : So, she's married to Joseph. She gets knocked up. What do you think : ol' Joe will do if he finds she's been getting around? So Mary comes up : with this ridiculous story about God making her pregnant. : Nice attempt Chris . . . verrry close. You missed the conspiracy by 1 step. Joseph knew who knocked her up. He couldn't let it be known that somebody ELSE got ol' Mary prego. That wouldn't do well for his popularity in the local circles. So what happened is that she was feeling guilty,…"
2,alt.atheism,"The ""System"" refered to a ""moral system"". You havn't shown any reason that chimps ""must"" have a moral system. Except if you would like to redefine everything. --- "" Whatever promises that have been made can than be broken. """
3,alt.atheism,"(deletion) Straw man. And you brought up leniency. Assuming that misjudgements are not correlated. (Deletion) Has been discussed here. Chapter and verse were cited, I assume that you weren't looking then. Let's be more exact, do you think it is not in the Quran?. And what would your consequences be when it it was shown to be in it? I have not claimed that. It is sufficient for the argument when there are a lot of male dominated societies that qualify as Machistic. Are you going to say that the situation of women is better in sufficeint areas of the Orient? (Deletion) You apparently have…"
4,alt.atheism,"[deletions] [deletions] As you have presented it, it is indeed an argument from incredulity. However, from what I have seen, it is not often presented in this manner. It is usually presented more in the form, ""And *besides*, I cannot see... ...nor have I ever been offered a convincing explanation."" Moreover, it is not unreasonable to ask for an explanation for such phenomena. That theism does not provide a convincing explanation is not an argument in theism's favor. Especially when different theisms offer different explanations, and even different adherents of what is purportedly the same…"
5,alt.atheism,"(Deletion) For me, it is a ""I believe no gods exist"" and a ""I don't believe gods exist"". In other words, I think that statements like gods are or somehow interfere with this world are false or meaningless. In Ontology, one can fairly conclude that when ""A exist"" is meaningless A does not exist. Under the Pragmatic definition of truth, ""A exists"" is meaningless makes A exist even logically false. A problem with such statements is that one can't disprove a subjective god by definition, and there might be cases where a subjective god would even make sense. The trouble with most god definitions…"
6,alt.atheism,"Well now, we can't judge death until we are dead right? So, why should we judge religion without having experienced it? People have said that religion is bad by any account, and that it is in no way useful, etc., but I don't totally agree with this. Of course, we cannot really say how the religious folk would act had they not been exposed to religion, but some people at least seemed to be helped in some ways by it. So basically, we can not judge whether religion is the right route for a given individual, or even for a general population. We can say that it is not best for us personally (at…"
7,alt.atheism,"It appears that Walla Walla College will fill the same role in alt.atheist that Allegheny College fills in alt.fan.dan-quayle. Converts to xtianity have this tendency to excessively darken their pre-xtian past, frequently falsely. Anyone who embarks on an effort to ""destroy"" xtianity is suffering from deep megalomania, a defect which is not cured by religious conversion. Different perspective? DIFFERENT PERSPECTIVE?? BWAHAHAHAHAHAHAHAH!!! (sigh!) Perhaps Big J was just mistaken about some of his claims. Perhaps he was normally insightful, but had a few off days. Perhaps many (most?) of the…"
8,alt.atheism,"This is an interesting notion -- and one I'm scared of. In my case I'm a Finnish citizen, I live in USA, and I have to conform to the US laws. However, the Finnish government is not actively checking out what I'm doing in this country, in other words checking out if I conform to the Finnish laws. However, Islamic law seems to be a 'curse' that is following you everywhere in the world. Shades of 1984, eh? Cheers, Kent"
9,alt.atheism,"So that still leaves the door totally open for Khomeini, Hussein et rest. They could still be considered true Muslims, and you can't judge them, because this is something between God and the person. You have to apply your rule as well with atheists/agnostics, you don't know their belief, this is something between them and God. So why the hoopla about Khomeini not being a real Muslim, and the hoopla about atheists being not real human beings? Cheers, Kent"
10,alt.atheism,"So these hypothetical conscious beings can ignore any influences of their circumstances (their genetics, their environment, their experiences) which are not all self-determined? (Of course, the idea of Hell makes the idea of ""free will"" dubious. On the other hand, the idea of Hell is not a very powerful idea. ""A Parable for You ""There was once our main character who blah blah blah. ""One day, a thug pointed a mean looking gun at OMC, and said, 'Do what I say, or I'm blasting you to hell.' ""OMC thought, 'If I believe this thug, and follow the instructions that will be given, I'll avoid getting…"
