id,topic,body
1,astrophysics,The supermassive black hole at the center of M87 was the first ever directly imaged using the Event Horizon Telescope
2,astrophysics,Gravitational waves from merging neutron stars were detected by LIGO and confirmed with electromagnetic observations
3,astrophysics,The cosmic microwave background radiation is the afterglow of the Big Bang cooled to just 2.7 Kelvin
4,astrophysics,Dark energy accounts for roughly 68 percent of the total energy budget of the observable universe
5,astrophysics,Pulsars are rapidly spinning neutron stars that emit beams of electromagnetic radiation from their magnetic poles
6,astrophysics,The Chandrasekhar limit of about 1.4 solar masses determines whether a white dwarf will collapse into a neutron star
7,astrophysics,Type Ia supernovae serve as standard candles for measuring the accelerating expansion of the universe
8,astrophysics,Hawking radiation is the theoretical thermal radiation predicted to be emitted by black holes due to quantum effects
9,astrophysics,The James Webb Space Telescope has revealed galaxies forming just 300 million years after the Big Bang
10,astrophysics,Magnetars are neutron stars with magnetic fields a quadrillion times stronger than Earth's magnetic field
11,astrophysics,The Hubble tension refers to the discrepancy between local and early-universe measurements of the expansion rate
12,astrophysics,Fast radio bursts are millisecond-duration pulses of radio emission from cosmological distances with unknown origins
13,astrophysics,Gravitational lensing bends light from distant galaxies around massive foreground objects revealing hidden structures
14,astrophysics,The Tolman-Oppenheimer-Volkoff limit sets the maximum mass of a neutron star before it collapses into a black hole
15,astrophysics,Primordial nucleosynthesis in the first few minutes after the Big Bang produced hydrogen helium and trace lithium
16,marine_biology,Coral bleaching occurs when rising ocean temperatures cause corals to expel their symbiotic zooxanthellae algae
17,marine_biology,The deep ocean hydrothermal vents support entire ecosystems that thrive without sunlight using chemosynthesis
18,marine_biology,Blue whales are the largest animals ever known to have lived reaching lengths of over 30 meters
19,marine_biology,Bioluminescence in the deep sea is used by organisms for communication camouflage and attracting prey
20,marine_biology,Sea turtles navigate thousands of kilometers across open ocean using the Earth's magnetic field for orientation
21,marine_biology,The Great Barrier Reef is the world's largest coral reef system visible from space and home to thousands of species
22,marine_biology,Cephalopods like octopuses can change their skin color and texture in milliseconds for camouflage and signaling
23,marine_biology,Marine phytoplankton produce roughly half of the oxygen in Earth's atmosphere through photosynthesis
24,marine_biology,The Mariana Trench reaches depths of nearly 11 kilometers and hosts extremophile organisms adapted to crushing pressure
25,marine_biology,Whale sharks are filter feeders that can grow up to 12 meters and migrate across entire ocean basins
26,marine_biology,Mangrove forests serve as critical nursery habitats for juvenile fish and protect coastlines from storm surges
27,marine_biology,The Portuguese man o' war is actually a colonial organism made of specialized individual polyps working together
28,marine_biology,Ocean acidification from absorbed CO2 threatens shellfish and corals by dissolving their calcium carbonate structures
29,marine_biology,Dolphins use echolocation to hunt and communicate producing clicks that bounce off objects and return as echoes
30,marine_biology,Kelp forests are among the most productive ecosystems on Earth supporting hundreds of species per square meter
31,classical_music,Beethoven's Ninth Symphony was revolutionary for incorporating a full choir and vocal soloists into a symphonic work
32,classical_music,The Well-Tempered Clavier by Bach demonstrated the viability of tuning keyboard instruments in all 24 major and minor keys
33,classical_music,Debussy's use of whole-tone scales and parallel chord motion broke away from traditional harmonic progressions
34,classical_music,The sonata-allegro form with its exposition development and recapitulation became the structural foundation of classical music
35,classical_music,Stravinsky's Rite of Spring caused a riot at its Paris premiere in 1913 due to its dissonant harmonies and primal rhythms
36,classical_music,Mozart composed over 600 works including 41 symphonies 27 piano concertos and several landmark operas
37,classical_music,The Romantic period expanded the orchestra dramatically adding instruments like the tuba English horn and contrabassoon
38,classical_music,Chopin's nocturnes are intimate piano pieces that explore the expressive capabilities of rubato and legato phrasing
39,classical_music,Mahler's symphonies are massive works that blend orchestral and vocal forces to explore themes of life death and nature
40,classical_music,The twelve-tone technique developed by Schoenberg organizes all twelve chromatic pitches into a fixed row or series
41,classical_music,Vivaldi's Four Seasons is a set of violin concertos each accompanied by sonnets describing the characteristics of each season
42,classical_music,Counterpoint is the art of combining independent melodic lines as perfected by Bach in his fugues and canons
43,classical_music,Rachmaninoff's Piano Concerto No 2 is renowned for its sweeping romantic melodies and demanding technical passages
